보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason
300,50.0,30.0,6.0,3,4,True,35.8398019543371,128.755877866084,477.0,129.0,64.0,123.0,1986.0,20.0,208.0,False,True,True,월세_high
200,35.0,49.59,6.0,3,4,False,35.8160530759713,128.763072091114,2430.0,309.0,123.0,627.0,3118.0,254.0,93.0,True,False,True,전용면적_high
500,53.0,16.82,6.0,12,15,True,35.8352108505406,128.732792562365,420.0,389.0,85.0,222.0,348.0,137.0,98.0,False,False,True,월세_high 보증금_high
300,50.0,30.0,6.0,1,3,False,35.8388823282042,128.754016849471,308.0,49.0,26.0,119.0,1792.0,54.0,210.0,False,True,True,월세_high
300,50.0,36.36,6.0,1,3,False,35.8388823282042,128.754016849471,308.0,49.0,26.0,119.0,1792.0,54.0,210.0,True,True,True,월세_high
500,45.0,49.56,6.0,4,4,False,35.8175755764869,128.759078078945,2154.0,240.0,67.0,532.0,2730.0,139.0,43.0,True,False,True,보증금_high 전용면적_high
4500,5.0,30.0,6.0,1,3,True,35.8233251312041,128.754417512895,1447.0,159.0,137.0,266.0,2015.0,139.0,242.0,True,True,True,월세_low 보증금_high
4000,3.0,33.06,6.0,1,3,False,35.8216829867977,128.757699478556,1680.0,202.0,219.0,303.0,2363.0,122.0,267.0,True,True,True,월세_low 보증금_high
4500,5.0,26.4,6.0,1,3,False,35.8233248697366,128.754404561486,1447.0,158.0,138.0,266.0,2014.0,140.0,241.0,True,True,True,월세_low 보증금_high
200,45.0,49.59,6.0,2,4,False,35.8220893156447,128.756651117044,1614.0,164.0,116.0,235.0,2259.0,44.0,229.0,False,True,True,전용면적_high
200,35.0,50.0,6.0,3,3,False,35.8217859014161,128.757655941286,1668.0,204.0,212.0,302.0,2353.0,117.0,270.0,True,True,True,전용면적_high
200,35.0,50.0,6.0,2,3,False,35.8217859014161,128.757655941286,1668.0,204.0,212.0,302.0,2353.0,117.0,270.0,True,True,True,전용면적_high
500,45.0,35.5,6.0,2,4,False,35.8145573028903,128.753895858032,2417.0,241.0,65.0,233.0,2636.0,112.0,97.0,True,False,True,보증금_high
2500,5.0,30.0,6.0,3,3,False,35.82107541791,128.755414459848,1706.0,40.0,53.0,86.0,2230.0,66.0,78.0,True,True,True,월세_low 보증금_high
200,45.0,50.0,6.0,3,4,False,35.8215617430766,128.757277242413,1684.0,162.0,188.0,262.0,2338.0,86.0,228.0,True,True,True,전용면적_high
50,15.0,23.14,6.0,2,3,False,35.842727222319,128.754555173491,733.0,133.0,159.0,405.0,2030.0,133.0,184.0,False,True,True,월세_low
300,42.0,46.28,6.0,4,4,True,35.8295797419104,128.739537499822,522.0,158.0,145.0,323.0,525.0,187.0,195.0,True,True,True,전용면적_high
200,40.0,49.59,6.0,3,4,False,35.8152659054432,128.72782200727,2089.0,27.0,248.0,481.0,2089.0,128.0,56.0,False,False,True,전용면적_high
50,16.0,19.83,7.0,2,3,False,35.838226349924,128.75064697051,294.0,291.0,101.0,287.0,1483.0,27.0,315.0,False,False,True,월세_low
300,45.0,49.59,6.0,3,4,True,35.8242038431006,128.73590121272,1195.0,139.0,73.0,62.0,978.0,99.0,78.0,True,False,True,전용면적_high
200,45.0,50.0,6.0,4,4,False,35.8220003120346,128.756747850547,1626.0,160.0,127.0,237.0,2271.0,43.0,226.0,True,True,True,전용면적_high
200,45.0,50.0,6.0,4,4,False,35.8220032884988,128.756741498756,1625.0,160.0,126.0,236.0,2271.0,43.0,226.0,True,True,True,전용면적_high
200,40.0,50.0,6.0,2,4,False,35.8224607526897,128.756312540823,1568.0,190.0,87.0,237.0,2211.0,75.0,250.0,True,True,True,전용면적_high
200,40.0,50.0,6.0,3,4,False,35.8224607526897,128.756312540823,1568.0,190.0,87.0,237.0,2211.0,75.0,250.0,True,True,True,전용면적_high
300,50.0,49.59,6.0,3,4,True,35.8457696130084,128.759199834914,1200.0,158.0,6.0,504.0,2565.0,202.0,245.0,True,False,True,월세_high 전용면적_high
