보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason
100,35.0,38.0,6.0,2,3,False,35.8389804903939,128.751216554929,335.0,220.0,111.0,306.0,1565.0,98.0,321.0,True,True,False,None
200,35.0,27.0,6.0,2,4,False,35.8392217870554,128.759495008596,682.0,446.0,130.0,140.0,2270.0,39.0,105.0,False,True,False,None
300,37.0,27.0,6.0,2,4,False,35.8396556699783,128.759237105316,687.0,424.0,99.0,104.0,2264.0,26.0,51.0,False,True,False,None
300,50.0,30.0,6.0,3,4,True,35.8398019543371,128.755877866084,477.0,129.0,64.0,123.0,1986.0,20.0,208.0,False,True,True,월세_high
100,32.0,29.75,6.0,2,4,False,35.8226851105192,128.757263283958,1563.0,249.0,176.0,318.0,2271.0,130.0,315.0,False,True,False,None
100,30.0,33.06,6.0,4,4,False,35.823190757478,128.754708653194,1465.0,173.0,118.0,252.0,2045.0,111.0,252.0,True,True,False,None
200,35.0,49.59,6.0,3,4,False,35.8160530759713,128.763072091114,2430.0,309.0,123.0,627.0,3118.0,254.0,93.0,True,False,True,전용면적_high
200,37.0,39.67,6.0,3,4,False,35.8324453027471,128.745888619883,472.0,538.0,1.0,828.0,937.0,228.0,172.0,True,True,False,None
200,42.0,40.0,6.0,4,4,False,35.8382278221322,128.757877784884,502.0,325.0,122.0,122.0,2099.0,174.0,224.0,False,True,False,None
500,53.0,16.82,6.0,12,15,True,35.8352108505406,128.732792562365,420.0,389.0,85.0,222.0,348.0,137.0,98.0,False,False,True,월세_high 보증금_high
100,30.0,33.05,6.0,2,3,False,35.8405315896811,128.754089246444,486.0,137.0,57.0,272.0,1873.0,154.0,63.0,True,True,False,None
50,22.0,26.44,6.0,2,3,False,35.8442644772357,128.750853512402,906.0,351.0,210.0,760.0,1867.0,104.0,190.0,False,True,False,None
100,27.0,26.45,6.0,3,4,False,35.84308389377051,128.7639511735884,1254.0,327.0,76.0,140.0,2799.0,116.0,143.0,True,True,False,None
300,39.0,36.36,6.0,2,4,False,35.8430837825354,128.763952609876,1254.0,327.0,76.0,140.0,2799.0,116.0,143.0,False,True,False,None
100,25.0,24.0,6.0,3,4,False,35.8381340814356,128.766174085256,1218.0,259.0,27.0,384.0,2823.0,60.0,76.0,False,False,False,None
300,50.0,30.0,6.0,1,3,False,35.8388823282042,128.754016849471,308.0,49.0,26.0,119.0,1792.0,54.0,210.0,False,True,True,월세_high
300,50.0,36.36,6.0,1,3,False,35.8388823282042,128.754016849471,308.0,49.0,26.0,119.0,1792.0,54.0,210.0,True,True,True,월세_high
200,38.0,33.05,6.0,1,3,False,35.8393039567623,128.752924536221,337.0,65.0,55.0,226.0,1720.0,55.0,213.0,True,True,False,None
100,21.0,26.44,6.0,1,3,False,35.84473063408803,128.75709915740967,1015.0,379.0,217.0,515.0,2343.0,54.0,327.0,False,False,False,None
100,28.0,26.45,6.0,2,3,False,35.8404827915643,128.753184990027,469.0,148.0,118.0,303.0,1798.0,101.0,89.0,False,True,False,None
150,33.0,26.45,6.0,1,3,False,35.8406172765709,128.753626980724,488.0,157.0,92.0,296.0,1840.0,131.0,54.0,True,True,False,None
200,38.0,29.75,8.0,4,4,False,35.8407644449356,128.756654522964,605.0,167.0,62.0,119.0,2093.0,75.0,140.0,True,True,False,None
100,32.0,26.45,6.0,3,3,False,35.838725063147,128.753598381379,280.0,53.0,40.0,142.0,1751.0,40.0,193.0,False,True,False,None
200,25.0,33.05,6.0,2,3,False,35.8323153741313,128.708146527995,836.0,177.0,29.0,52.0,900.0,31.0,103.0,False,False,False,None
500,45.0,49.56,6.0,4,4,False,35.8175755764869,128.759078078945,2154.0,240.0,67.0,532.0,2730.0,139.0,43.0,True,False,True,보증금_high 전용면적_high
100,28.0,33.1,6.0,2,3,False,35.8432223277009,128.754651964021,789.0,183.0,167.0,446.0,2067.0,183.0,240.0,True,False,False,None
200,36.0,40.0,6.0,1,3,False,35.8212772994092,128.752214219578,1669.0,149.0,34.0,152.0,1991.0,105.0,48.0,True,True,False,None
200,37.0,23.14,6.0,2,4,False,35.8380704794718,128.756572093403,390.0,232.0,36.0,138.0,1981.0,125.0,250.0,False,True,False,None
100,30.0,33.1,6.0,2,4,False,35.8445874850553,128.751567502792,931.0,420.0,270.0,738.0,1939.0,177.0,253.0,True,False,False,None
100,30.0,24.0,6.0,2,3,False,35.8398638423636,128.75126740603,424.0,226.0,202.0,375.0,1613.0,90.0,269.0,False,True,False,None
200,40.0,40.0,6.0,3,4,False,35.8414392637129,128.762618341819,1051.0,254.0,115.0,75.0,2618.0,56.0,88.0,True,True,False,None
200,47.0,40.0,6.0,3,4,False,35.8386709827854,128.757465920057,493.0,273.0,99.0,84.0,2078.0,116.0,190.0,True,True,False,None
