보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason,PC1,PC2,cluster_0,cluster_1,cluster_2,cluster_3
100,35.0,38.0,6.0,2,3,0,35.8389804903939,128.751216554929,335.0,220.0,111.0,306.0,1565.0,98.0,321.0,1,1,0,,0.1377021881962684,-0.4211071261175506,0,0,1,0
200,35.0,27.0,6.0,2,4,0,35.8392217870554,128.759495008596,682.0,446.0,130.0,140.0,2270.0,39.0,105.0,0,1,0,,0.3622493178835319,0.406271069075001,0,1,0,0
300,37.0,27.0,6.0,2,4,0,35.8396556699783,128.759237105316,687.0,424.0,99.0,104.0,2264.0,26.0,51.0,0,1,0,,0.25866889957998046,0.49610312753572955,0,1,0,0
100,32.0,29.75,6.0,2,4,0,35.8226851105192,128.757263283958,1563.0,249.0,176.0,318.0,2271.0,130.0,315.0,0,1,0,,0.5482711482979585,-0.1548219055638004,0,0,1,0
100,30.0,33.06,6.0,4,4,0,35.823190757478,128.754708653194,1465.0,173.0,118.0,252.0,2045.0,111.0,252.0,1,1,0,,0.07336670113009415,-0.23518552245952468,0,0,1,0
200,37.0,39.67,6.0,3,4,0,35.8324453027471,128.745888619883,472.0,538.0,1.0,828.0,937.0,228.0,172.0,1,1,0,,0.30391185961301753,0.1333113735171538,0,1,0,0
200,42.0,40.0,6.0,4,4,0,35.8382278221322,128.757877784884,502.0,325.0,122.0,122.0,2099.0,174.0,224.0,0,1,0,,0.3349519892296724,0.20649167227422574,0,1,0,0
100,30.0,33.05,6.0,2,3,0,35.8405315896811,128.754089246444,486.0,137.0,57.0,272.0,1873.0,154.0,63.0,1,1,0,,-0.10968475998100684,-0.13112953906817842,1,0,0,0
50,22.0,26.44,6.0,2,3,0,35.8442644772357,128.750853512402,906.0,351.0,210.0,760.0,1867.0,104.0,190.0,0,1,0,,0.4802006933432091,-0.033412929970874604,0,0,1,0
100,27.0,26.45,6.0,3,4,0,35.84308389377051,128.7639511735884,1254.0,327.0,76.0,140.0,2799.0,116.0,143.0,1,1,0,,0.2343929896219155,0.5770987772307408,0,1,0,0
