매물번호,보증금,월세,관리비,전용면적,노후도,해당층,전체층,엘리베이터,방향,위도,경도,주소,옵션_냉장고,옵션_침대,옵션_전자레인지,옵션_에어컨,옵션_세탁기,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m)
47936737,100,35,0.0,38.0,6.0,2,3,False,S,35.8389804903939,128.751216554929,경상북도 경산시 대동,True,True,True,True,True,335.0,220.0,111.0,306.0,1565.0,98.0,321.0
47936672,200,30,5.0,27.0,6.0,2,4,False,E,35.8392217870554,128.759495008596,경상북도 경산시 압량읍 부적리,True,True,True,True,True,682.0,446.0,130.0,140.0,2270.0,39.0,105.0
47936658,300,30,7.0,27.0,6.0,2,4,False,NE,35.8396556699783,128.759237105316,경상북도 경산시 압량읍 부적리,True,True,True,True,True,687.0,424.0,99.0,104.0,2264.0,26.0,51.0
47936637,300,45,5.0,30.0,6.0,3,4,True,W,35.8398019543371,128.755877866084,경상북도 경산시 조영동,True,True,True,True,True,477.0,129.0,64.0,123.0,1986.0,20.0,208.0
47935180,100,27,5.0,29.75,6.0,2,4,False,W,35.8226851105192,128.757263283958,경상북도 경산시 삼풍동,True,True,True,True,True,1563.0,249.0,176.0,318.0,2271.0,130.0,315.0
47935136,100,25,5.0,33.06,6.0,4,4,False,SE,35.823190757478,128.754708653194,경상북도 경산시 삼풍동,True,True,True,True,True,1465.0,173.0,118.0,252.0,2045.0,111.0,252.0
47934540,200,26,9.0,49.59,6.0,3,4,False,S,35.8160530759713,128.763072091114,경상북도 경산시 사동,True,True,False,True,True,2430.0,309.0,123.0,627.0,3118.0,254.0,93.0
47934217,200,28,9.0,39.67,6.0,3,4,False,S,35.8324453027471,128.745888619883,경상북도 경산시 계양동,True,True,True,True,True,472.0,538.0,1.0,828.0,937.0,228.0,172.0
47934174,200,32,10.0,40.0,6.0,4,4,False,W,35.8382278221322,128.757877784884,경상북도 경산시 조영동,True,True,True,True,True,502.0,325.0,122.0,122.0,2099.0,174.0,224.0
47933647,500,45,8.0,16.82,6.0,12,15,True,N,35.8352108505406,128.732792562365,경상북도 경산시 대평동,True,False,False,True,True,420.0,389.0,85.0,222.0,348.0,137.0,98.0
47933393,100,22,8.0,33.05,6.0,2,3,False,SE,35.8405315896811,128.754089246444,경상북도 경산시 조영동,True,True,True,True,True,486.0,137.0,57.0,272.0,1873.0,154.0,63.0
