보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason,PC1,PC2,PC3,PC4,cluster
100,35.0,38.0,6.0,2,3,False,35.8389804903939,128.751216554929,335.0,220.0,111.0,306.0,1565.0,98.0,321.0,True,True,False,,-0.4074488066093724,-2.0147841305077026,0.9502234914541312,-0.11179808580993188,3
200,35.0,27.0,6.0,2,4,False,35.8392217870554,128.759495008596,682.0,446.0,130.0,140.0,2270.0,39.0,105.0,False,True,False,,0.34656695788563174,0.19406381179426616,-1.045371960529199,-1.6795737524319498,1
300,37.0,27.0,6.0,2,4,False,35.8396556699783,128.759237105316,687.0,424.0,99.0,104.0,2264.0,26.0,51.0,False,True,False,,-0.04301967545594311,0.8009850687476704,-1.5933812078787293,-1.5385024465398909,1
100,32.0,29.75,6.0,2,4,False,35.8226851105192,128.757263283958,1563.0,249.0,176.0,318.0,2271.0,130.0,315.0,False,True,False,,1.481122513541575,-0.8017610971185254,1.9920794381346227,-0.5217639578757557,1
100,30.0,33.06,6.0,4,4,False,35.823190757478,128.754708653194,1465.0,173.0,118.0,252.0,2045.0,111.0,252.0,True,True,False,,0.4734490369819432,-0.1556798382560104,1.2951452786736695,0.0010504048201317132,3
200,37.0,39.67,6.0,3,4,False,35.8324453027471,128.745888619883,472.0,538.0,1.0,828.0,937.0,228.0,172.0,True,True,False,,2.0559135981100294,-2.7295644650862623,-3.0878891640207597,1.1954582972307046,2
200,42.0,40.0,6.0,4,4,False,35.8382278221322,128.757877784884,502.0,325.0,122.0,122.0,2099.0,174.0,224.0,False,True,False,,0.520129447954671,-0.7047373419017973,0.21075128119646527,0.25785747083567767,1
100,30.0,33.05,6.0,2,3,False,35.8405315896811,128.754089246444,486.0,137.0,57.0,272.0,1873.0,154.0,63.0,True,True,False,,-0.1264000657008579,0.504118813245874,-1.0231457859731241,1.3255194385417284,3
50,22.0,26.44,6.0,2,3,False,35.8442644772357,128.750853512402,906.0,351.0,210.0,760.0,1867.0,104.0,190.0,False,True,False,,2.5295025725119498,-1.9571989397374325,0.029399720412540194,-0.8859692300831674,1
100,27.0,26.45,6.0,3,4,False,35.84308389377051,128.7639511735884,1254.0,327.0,76.0,140.0,2799.0,116.0,143.0,True,True,False,,0.7607649830366228,1.3076400293031292,-0.24571404064418853,-0.6267897418086243,3
300,39.0,36.36,6.0,2,4,False,35.8430837825354,128.763952609876,1254.0,327.0,76.0,140.0,2799.0,116.0,143.0,False,True,False,,0.7607649830366228,1.3076400293031292,-0.24571404064418853,-0.6267897418086243,1
100,25.0,24.0,6.0,3,4,False,35.8381340814356,128.766174085256,1218.0,259.0,27.0,384.0,2823.0,60.0,76.0,False,False,False,,0.5500216897657698,1.7306464768276562,-1.0737641587201008,-0.8486901736357184,2
200,38.0,33.05,6.0,1,3,False,35.8393039567623,128.752924536221,337.0,65.0,55.0,226.0,1720.0,55.0,213.0,True,True,False,,-1.5358476994230457,-0.41744846613328607,0.43481782434173366,0.23694806973059074,3
100,21.0,26.44,6.0,1,3,False,35.84473063408803,128.75709915740967,1015.0,379.0,217.0,515.0,2343.0,54.0,327.0,False,False,False,,1.7841050972776236,-1.8806726568404721,1.5298723406782107,-2.130916121782805,1
100,28.0,26.45,6.0,2,3,False,35.8404827915643,128.753184990027,469.0,148.0,118.0,303.0,1798.0,101.0,89.0,False,True,False,,-0.06928071473391167,-0.0680918801353183,-0.44469821920743485,0.4670726298821926,1
150,33.0,26.45,6.0,1,3,False,35.8406172765709,128.753626980724,488.0,157.0,92.0,296.0,1840.0,131.0,54.0,True,True,False,,0.057851335671765196,0.3060821352987343,-0.9421558882636358,0.9108956893064338,3
200,38.0,29.75,8.0,4,4,False,35.8407644449356,128.756654522964,605.0,167.0,62.0,119.0,2093.0,75.0,140.0,True,True,False,,-0.8902474172222132,0.575432845418805,-0.20029862484302147,0.00615613808653433,3
100,32.0,26.45,6.0,3,3,False,35.838725063147,128.753598381379,280.0,53.0,40.0,142.0,1751.0,40.0,193.0,False,True,False,,-1.9934126921004123,-0.042267848407556645,0.27476937382377425,0.19128076920778092,1
200,25.0,33.05,6.0,2,3,False,35.8323153741313,128.708146527995,836.0,177.0,29.0,52.0,900.0,31.0,103.0,False,False,False,,-1.967920569990773,-0.013327061827054525,-1.0960167276806896,0.4556759725448424,2
100,28.0,33.1,6.0,2,3,False,35.8432223277009,128.754651964021,789.0,183.0,167.0,446.0,2067.0,183.0,240.0,True,False,False,,1.4622144197691662,-1.1577214004843417,1.0903966913468917,0.6314670692249769,2
200,36.0,40.0,6.0,1,3,False,35.8212772994092,128.752214219578,1669.0,149.0,34.0,152.0,1991.0,105.0,48.0,True,True,False,,-0.10380675419027985,1.8611466627663822,-0.756189984546576,0.7414224052830667,3
200,37.0,23.14,6.0,2,4,False,35.8380704794718,128.756572093403,390.0,232.0,36.0,138.0,1981.0,125.0,250.0,False,True,False,,-0.7898945483887893,-0.4798366800589797,0.07404356143933356,0.2949398593047581,1
100,30.0,33.1,6.0,2,4,False,35.8445874850553,128.751567502792,931.0,420.0,270.0,738.0,1939.0,177.0,253.0,True,False,False,,3.566334363500081,-2.7101691241404384,0.7428867244434286,-0.6203194763108804,2
100,30.0,24.0,6.0,2,3,False,35.8398638423636,128.75126740603,424.0,226.0,202.0,375.0,1613.0,90.0,269.0,False,True,False,,0.4804257939883399,-2.1161066991405897,1.18291438437293,-0.44982185402483416,1
200,40.0,40.0,6.0,3,4,False,35.8414392637129,128.762618341819,1051.0,254.0,115.0,75.0,2618.0,56.0,88.0,True,True,False,,0.06002124352693298,1.4542297365421555,-0.17140023061610238,-0.9362044008779637,3
200,47.0,40.0,6.0,3,4,False,35.8386709827854,128.757465920057,493.0,273.0,99.0,84.0,2078.0,116.0,190.0,True,True,False,,-0.2732346203181662,-0.1897456514184848,0.014079591342031775,-0.07876369353071462,3
100,29.0,27.0,6.0,3,4,False,35.8377213457097,128.757911649358,483.0,353.0,124.0,178.0,2087.0,191.0,275.0,False,True,False,,0.8024897923775764,-1.2344313770666469,0.4604851926947609,0.24244079863380763,1
100,28.0,23.14,6.0,2,3,False,35.840482791565,128.753184990027,469.0,148.0,118.0,303.0,1798.0,101.0,89.0,False,True,False,,-0.06928071473391167,-0.0680918801353183,-0.44469821920743485,0.4670726298821926,1
100,32.0,23.14,6.0,2,3,False,35.8389804903939,128.751216554929,335.0,220.0,111.0,306.0,1565.0,98.0,321.0,True,True,False,,-0.4074488066093724,-2.0147841305077026,0.9502234914541312,-0.11179808580993188,3
100,28.0,34.0,6.0,3,3,False,35.8215002216791,128.75540124409,1659.0,81.0,42.0,105.0,2202.0,65.0,124.0,True,True,False,,-0.6571511849027191,1.7956390762446583,0.3355377174174282,0.20439248212625122,3
100,30.0,40.0,6.0,4,4,False,35.8222623889361,128.755895020969,1582.0,161.0,46.0,195.0,2191.0,41.0,216.0,True,True,False,,-0.502218681653011,0.8332313404683283,0.6786801391686283,-0.5798410264966368,3
200,30.0,30.0,6.0,2,4,False,35.8202504558958,128.756516987891,1812.0,95.0,98.0,199.0,2365.0,170.0,99.0,True,True,False,,0.9614957841325864,1.6899245807891052,0.5072763237027561,1.1373839324461623,3
100,28.0,30.0,6.0,1,3,False,35.8215678379678,128.755244844025,1650.0,94.0,27.0,99.0,2186.0,56.0,130.0,True,True,False,,-0.8200795575999678,1.7977759411575547,0.21531743387812416,0.09719245884516428,3
100,28.0,34.0,6.0,1,3,False,35.8210304603124,128.755864120309,1717.0,26.0,74.0,126.0,2266.0,94.0,92.0,True,True,False,,-0.23429727293865105,2.00199555995479,0.5657468466727112,0.6619065062265155,3
200,35.0,28.5,6.0,2,4,False,35.8396585497473,128.756435134109,495.0,173.0,54.0,74.0,2027.0,54.0,166.0,False,True,False,,-1.3276681602987852,0.38490935509942004,-0.09698178076227779,-0.23252823040867193,1
100,25.0,30.0,6.0,1,3,False,35.8206883606528,128.756630863438,1766.0,83.0,128.0,197.0,2344.0,123.0,133.0,True,True,False,,0.7012787097747001,1.3441371792930918,1.049452680031189,0.4819321362169173,3
100,25.0,30.0,6.0,3,4,False,35.8215617430773,128.757277242412,1684.0,162.0,188.0,262.0,2338.0,86.0,228.0,True,True,False,,1.0610412552705697,0.15857070508875692,1.8678954612619867,-0.6226991096961804,3
100,30.0,33.06,6.0,2,3,False,35.8211290753466,128.755639916012,1703.0,35.0,68.0,107.0,2243.0,84.0,90.0,True,True,False,,-0.3870279431667875,2.033741545485931,0.47150582312109335,0.5548387872412716,3
100,27.0,30.0,6.0,3,4,False,35.8206483628293,128.755563274142,1755.0,24.0,32.0,103.0,2270.0,103.0,43.0,True,True,False,,-0.427433283805711,2.58113313010296,-0.10843848340131873,1.0033981592301995,3
200,37.0,30.0,6.0,3,4,False,35.8200187284765,128.756359970055,1835.0,106.0,71.0,198.0,2369.0,195.0,80.0,True,True,False,,1.0314540311353864,1.9176915356971054,0.10745667841539397,1.5099883877995544,3
100,25.0,29.75,6.0,4,4,False,35.8215617430766,128.757277242413,1684.0,162.0,188.0,262.0,2338.0,86.0,228.0,False,True,False,,1.0610412552705697,0.15857070508875692,1.8678954612619867,-0.6226991096961804,1
100,28.0,29.75,6.0,1,3,False,35.8215678379671,128.755244844025,1650.0,94.0,27.0,99.0,2186.0,56.0,130.0,True,True,False,,-0.8200795575999678,1.7977759411575547,0.21531743387812416,0.09719245884516428,3
100,30.0,33.06,6.0,1,3,False,35.8210304603124,128.755864120309,1717.0,26.0,74.0,126.0,2266.0,94.0,92.0,True,True,False,,-0.23429727293865105,2.00199555995479,0.5657468466727112,0.6619065062265155,3
100,25.0,29.75,6.0,1,3,False,35.8206883606521,128.756630863439,1766.0,83.0,128.0,197.0,2344.0,123.0,133.0,True,True,False,,0.7012787097747001,1.3441371792930918,1.049452680031189,0.4819321362169173,3
100,30.0,33.06,6.0,3,3,False,35.82112807638053,128.7556404472357,1703.0,35.0,68.0,107.0,2243.0,84.0,90.0,True,True,False,,-0.3870279431667875,2.033741545485931,0.47150582312109335,0.5548387872412716,3
200,40.0,29.7,6.0,3,4,False,35.8236163187539,128.75383494861,1411.0,149.0,187.0,304.0,1953.0,200.0,235.0,False,True,False,,1.5796387836193868,-0.6277649384484429,1.6509231150949222,1.014717549302139,1
200,30.0,29.75,6.0,2,4,False,35.82024300647532,128.7565149428241,1813.0,96.0,98.0,200.0,2365.0,171.0,99.0,True,True,False,,0.9748305919131142,1.6860915192756663,0.5023618290023494,1.145326019904951,3
100,30.0,29.75,6.0,2,3,False,35.8216829867977,128.757699478556,1680.0,202.0,219.0,303.0,2363.0,122.0,267.0,False,True,False,,1.710041194686486,-0.3935185287261791,2.215742616077113,-0.5406222561897917,1
200,35.0,26.44,6.0,2,3,False,35.83862215248308,128.75430837434982,292.0,85.0,65.0,80.0,1807.0,91.0,186.0,False,True,False,,-1.4874419955873446,-0.045555375455620085,0.3374165267402154,0.5977250600409907,1
100,30.0,23.14,7.0,1,3,False,35.8397815652299,128.7522565321,393.0,140.0,124.0,306.0,1688.0,38.0,203.0,True,True,False,,-0.7410771765277003,-0.9364270397710823,0.5063087719696859,-0.4209365558864338,3
100,30.0,23.14,6.0,4,4,False,35.8394972694711,128.756193307235,468.0,149.0,38.0,100.0,2000.0,38.0,194.0,True,True,False,,-1.6151564855340292,0.24644022865499352,0.0722646190533725,-0.33263471263989036,3
100,30.0,26.45,6.0,2,4,False,35.841308593750014,128.75582885742233,620.0,71.0,85.0,210.0,2052.0,49.0,169.0,False,True,False,,-1.0120117706210252,0.2941140516118466,0.5288121998480463,-0.08288999031465194,1
70,25.0,23.14,6.0,2,3,False,35.84035080031026,128.75515212652513,498.0,123.0,25.0,198.0,1951.0,83.0,139.0,False,False,False,,-1.1330158733701485,0.4711290874299641,-0.4689898259028894,0.44720209355754587,1
200,35.0,23.14,7.0,3,3,False,35.83932495117189,128.75253295898483,340.0,101.0,80.0,258.0,1688.0,39.0,228.0,True,True,False,,-1.3289949368264908,-0.7725153468320161,0.5614181006435706,-0.17347141824695986,3
100,32.0,23.14,6.0,4,4,False,35.8394972694718,128.756193307234,468.0,149.0,38.0,100.0,2000.0,38.0,194.0,False,True,False,,-1.6151564855340292,0.24644022865499352,0.0722646190533725,-0.33263471263989036,1
150,33.0,23.14,6.0,4,4,False,35.83908753303081,128.75477457810248,357.0,36.0,83.0,100.0,1864.0,109.0,235.0,True,True,False,,-1.3221008978148288,-0.30041724009182724,1.1011100871587784,0.7877753368490286,3
